Wood Buffalo Environmental Association - Continuous Ambient Air Quality Monitoring Program
For authorized use only
AMS29, L1, 5Mn
Exported On:,2022/08/24,11:07
Date Range:,2022/5/23,0:00,to,2022/8/23,23:00

Date/Time, SO2 (ppb), H2S (ppb), THC (ppm), NO (ppb), NO2 (ppb), NOx (ppb), PM2.5 (ug/m3), Wind Speed @ 10m (km/h), Wind Dir @ 10m (deg.), Relative Humidity (%), Temp @ 2m (deg. C)
2022-05-24 17:30:00,0.14,-0.08,2.06,-0.04,0.06,0.03,3.08,9.94,101,49,12.15
2022-05-24 17:35:00,0.21,-0.08,2.03,-0.01,0.06,0.05,3.17,9.54,104.5,49,12.16
2022-05-24 17:40:00,0.33,0.04,2.03,-0.01,0.05,0.04,3.1,11.44,103.5,49,11.97
2022-05-24 17:45:00,0.24,-0.15,2,-0.03,0.04,0,3.01,10.66,105,51,11.44
2022-05-24 17:50:00,0.3,0.08,2,-0.04,0.03,-0.01,3.06,11.98,106.3,52,11.39
2022-05-24 17:55:00,0.19,0.07,1.99,-0.03,0.02,-0.01,3.11,11.12,95.1,52,11.47
2022-05-24 18:00:00,0.19,-0.02,2.01,-0.02,0.04,0.02,3.08,8.65,112.8,51,11.66
2022-05-24 18:05:00,0.21,0.1,2,-0.04,0.03,-0.01,3.06,9.21,103.2,51,12.02
2022-05-24 18:10:00,0.13,-0.01,1.99,-0.01,0.02,0.02,3.02,9.97,118.2,50,12.16
2022-05-24 18:15:00,0.25,-0.21,2.01,-0.01,0.06,0.04,3,8.4,108.2,52,11.64
2022-05-24 18:20:00,0.16,0.12,1.98,-0.04,0.06,0.02,2.97,10.4,102.6,52,11.69
2022-05-24 18:25:00,0.24,-0.07,1.99,-0.03,0.07,0.03,2.86,9.97,93.4,52,11.78
2022-05-24 18:30:00,0.16,0.01,2.02,-0.02,0.02,0,2.81,10.75,96.1,52,11.87
2022-05-24 18:35:00,0.1,-0.02,2.03,-0.02,0.05,0.03,2.88,9.18,101.4,53,11.67
2022-05-24 18:40:00,0.11,-0.06,1.96,-0.02,0.04,0.02,2.96,9.68,110.2,53,11.18
2022-05-24 18:45:00,0.07,-0.03,1.98,-0.03,0.04,0.01,2.92,10.66,97.8,55,10.79
2022-05-24 18:50:00,0.21,-0.08,1.96,-0.04,0.03,-0.02,2.9,9.42,101.5,56,10.52
2022-05-24 18:55:00,0.08,0.02,2.04,0,0.02,0.03,2.9,7.62,92.2,56,10.48
2022-05-24 19:00:00,0.05,0.13,2.03,-0.04,0.06,0.01,2.86,8.19,95.7,56,10.67
2022-05-24 19:05:00,0.14,0.1,1.96,-0.01,0.03,0.02,2.85,8.33,114.9,56,10.71
2022-05-24 19:10:00,0.21,0.04,2,-0.05,0.06,0.01,2.83,8.58,109.3,56,10.45
2022-05-24 19:15:00,0.03,0.02,1.98,-0.05,0.05,0,2.81,11.69,104,57,10.27
2022-05-24 19:20:00,0.07,-0.15,1.93,-0.03,0.05,0.01,2.84,10.93,95.4,57,10.1
